out_name,frequency,units,long_name,standard_name,priority,comment,cell_methods,cell_measures,dimensions,type,positive,valid_min,valid_max,ok_min_mean_abs,ok_max_mean_abs
dtb,fx,m,Depth to Bedrock,bedrock_depth_below_ground_level,TIER2,not in CMIP or in CF (lower boundary of land surface models),area: mean,area: areacella,longitude latitude,real,,,,,
rsdscs,day,W m-2,Surface Downwelling Clear-Sky Shortwave Radiation,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,TIER2,,area: time: mean,area: areacella,longitude latitude time,real,down,,,,
ta600,6hr,K,Air Temperature,air_temperature,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p600,real,,,,,
ua100,day,m s-1,Eastward Wind,eastward_wind,TIER2,,area: time: mean,area: areacella,longitude latitude time p100,real,,,,,
clt,mon,%,Total Cloud Cover Percentage,cloud_area_fraction,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
zg600,mon,m,Geopotential Height,geopotential_height,TIER1,,area: time: mean,area: areacella,longitude latitude time p600,real,,,,,
rlut,day,W m-2,TOA Outgoing Longwave Radiation,toa_outgoing_longwave_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
ua150m,1hr,m s-1,Eastward Wind at 150m,eastward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 height150m,real,,,,,
ua10,6hr,m s-1,Eastward Wind,eastward_wind,TIER2,,area: mean time: point,area: areacella,longitude latitude time1 p10,real,,,,,
mrsos,day,kg m-2,Moisture in Upper Portion of Soil Column,mass_content_of_water_in_soil_layer,TIER1,The mass of water in all phases in the upper 10cm of the soil layer. Reported as missing for grid cells with no land.,area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
ta250,6hr,K,Air Temperature,air_temperature,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p250,real,,,,,
hus50,day,1,Specific Humidity,specific_humidity,TIER2,,area: time: mean,area: areacella,longitude latitude time p50,real,,,,,
zg300,6hr,m,Geopotential Height,geopotential_height,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p300,real,,,,,
sftgif,fx,%,Percentage of the Grid Cell Covered by Glacier,land_ice_area_fraction,TIER2,,area: mean,area: areacella,longitude latitude,real,,,,,
ua10,day,m s-1,Eastward Wind,eastward_wind,TIER2,,area: time: mean,area: areacella,longitude latitude time p10,real,,,,,
ts,mon,K,Surface Temperature,surface_temperature,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
ua100,6hr,m s-1,Eastward Wind,eastward_wind,TIER2,,area: mean time: point,area: areacella,longitude latitude time1 p100,real,,,,,
clivi,1hr,kg m-2,Ice Water Path,atmosphere_mass_content_of_cloud_ice,TIER1,,area: mean time: point,area: areacella,longitude latitude time1,real,,,,,
uas,1hr,m s-1,Eastward Near-Surface Wind,eastward_wind,CORE,,area: mean time: point,area: areacella,longitude latitude time1 height10m,real,,,,,
hus20,6hr,1,Specific Humidity,specific_humidity,TIER2,,area: mean time: point,area: areacella,longitude latitude time1 p20,real,,,,,
hus400,6hr,1,Specific Humidity,specific_humidity,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p400,real,,,,,
tauu,1hr,Pa,Surface Downward Eastward Wind Stress,surface_downward_eastward_stress,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
ua850,mon,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p850,real,,,,,
va925,day,m s-1,Northward Wind,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p925,real,,,,,
va50m,day,m s-1,Northward Wind at 50m,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time height50m,real,,,,,
clh,mon,%,High Level Cloud Fraction,cloud_area_fraction_in_atmosphere_layer,TIER2,above 440 hPa,area: time: mean,area: areacella,longitude latitude time,real,,,,,
va300m,mon,m s-1,Northward Wind at 350m,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time height300m,real,,,,,
mrsfl,6hr,kg m-2,Frozen Water Content of Soil Layer,frozen_water_content_of_soil_layer,TIER1,"The mass of frosen water in each soil layer (3D variable). Reported as missing for grid cells with no land. (not in CMIP) [mrfsol -> mrsfl, 2022.09.22, https://github.com/WCRP-CORDEX/cordex-cmip6-data-request/issues/2 ]",area: mean where land time: point,area: areacella,longitude latitude sdepth time1,real,,,,,
wa1000,day,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,area: time: mean,area: areacella,longitude latitude time p1000,real,,,,,
tsl,6hr,K,Temperature of Soil,soil_temperature,TIER1,Temperature of each soil layer (3D variable). Reported as missing for grid cells with no land.,area: mean where land time: point,area: areacella,longitude latitude sdepth time1,real,,,,,
prhmax,day,kg m-2 s-1,Daily Maximum Hourly Precipitation Rate,precipitation_flux,TIER1,Defined as maximum of the precipitation rate averaged over the whole hour.,area: mean time: mean within hours time: maximum over hours,area: areacella,longitude latitude time,real,,,,,
va70,6hr,m s-1,Northward Wind,northward_wind,TIER2,,area: mean time: point,area: areacella,longitude latitude time1 p70,real,,,,,
hfls,day,W m-2,Surface Upward Latent Heat Flux,surface_upward_latent_heat_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
mrros,mon,kg m-2 s-1,Surface Runoff,surface_runoff_flux,TIER1,,area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
mrros,day,kg m-2 s-1,Surface Runoff,surface_runoff_flux,TIER1,,area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
clt,day,%,Total Cloud Cover Percentage,cloud_area_fraction,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
cll,mon,%,Low Level Cloud Fraction,cloud_area_fraction_in_atmosphere_layer,TIER2,below 680 hPa,area: time: mean,area: areacella,longitude latitude time,real,,,,,
huss,mon,1,Near-Surface Specific Humidity,specific_humidity,CORE,,area: time: mean,area: areacella,longitude latitude time height2m,real,,,,,
va150,6hr,m s-1,Northward Wind,northward_wind,TIER2,,area: mean time: point,area: areacella,longitude latitude time1 p150,real,,,,,
cape,mon,J kg-1,Convective Available Potential Energy,atmosphere_convective_available_potential_energy_wrt_surface,TIER2,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
ta600,mon,K,Air Temperature,air_temperature,TIER1,,area: time: mean,area: areacella,longitude latitude time p600,real,,,,,
va300m,day,m s-1,Northward Wind at 350m,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time height300m,real,,,,,
va750,day,m s-1,Northward Wind,northward_wind,TIER2,requested by CORDEX-Africa,area: time: mean,area: areacella,longitude latitude time p750,real,,,,,
hus600,mon,1,Specific Humidity,specific_humidity,TIER1,,area: time: mean,area: areacella,longitude latitude time p600,real,,,,,
rsdsdir,1hr,W m-2,Surface Direct Downwelling Shortwave Radiation,surface_direct_downwelling_shortwave_flux_in_air,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,down,,,,
zg50,mon,m,Geopotential Height,geopotential_height,TIER2,,area: time: mean,area: areacella,longitude latitude time p50,real,,,,,
z0,day,m,Surface Roughness Length,surface_roughness_length,TIER2,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
pr,day,kg m-2 s-1,Precipitation,precipitation_flux,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
rsus,mon,W m-2,Surface Upwelling Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
prc,mon,kg m-2 s-1,Convective Precipitation,convective_precipitation_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
ta1000,6hr,K,Air Temperature,air_temperature,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p1000,real,,,,,
rsut,1hr,W m-2,TOA Outgoing Shortwave Radiation,toa_outgoing_shortwave_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
ua300m,mon,m s-1,Eastward Wind at 250m,eastward_wind,TIER2,,area: time: mean,area: areacella,longitude latitude time height300m,real,,,,,
zmla,mon,m,Height of Boundary Layer,atmosphere_boundary_layer_thickness,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
mrsol,mon,kg m-2,Total Water Content of Soil Layer,mass_content_of_water_in_soil_layer,TIER1,The mass of water in all phases in each soil layer (3D variable). Reported as missing for grid cells with no land.,area: mean where land time: mean,area: areacella,longitude latitude sdepth time,real,,,,,
rootd,fx,m,Maximum Root Depth,root_depth,TIER2,,area: mean,area: areacella,longitude latitude,real,,,,,
ua250m,mon,m s-1,Eastward Wind at 250m,eastward_wind,TIER2,,area: time: mean,area: areacella,longitude latitude time height250m,real,,,,,
zg500,day,m,Geopotential Height,geopotential_height,TIER1,,area: time: mean,area: areacella,longitude latitude time p500,real,,,,,
va700,day,m s-1,Northward Wind,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p700,real,,,,,
wa150,6hr,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,area: mean time: point,area: areacella,longitude latitude time1 p150,real,,,,,
rsdt,day,W m-2,TOA Incident Shortwave Radiation,toa_incoming_shortwave_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
sfcWindmax,day,m s-1,Daily Maximum Near-Surface Wind Speed,wind_speed,TIER1,Maximum from all integrated time steps per day,area: mean time: maximum,area: areacella,longitude latitude time height10m,real,,,,,
wa100,day,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,area: time: mean,area: areacella,longitude latitude time p100,real,,,,,
ua50m,1hr,m s-1,Eastward Wind at 50m,eastward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 height50m,real,,,,,
zg150,day,m,Geopotential Height,geopotential_height,TIER2,,area: time: mean,area: areacella,longitude latitude time p150,real,,,,,
va750,mon,m s-1,Northward Wind,northward_wind,TIER2,requested by CORDEX-Africa,area: time: mean,area: areacella,longitude latitude time p750,real,,,,,
wa300,day,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,area: time: mean,area: areacella,longitude latitude time p300,real,,,,,
capemax,mon,J kg-1,Daily Maximum Convective Available Potential Energy,atmosphere_convective_available_potential_energy_wrt_surface,TIER2,,area: mean time: maximum within days time: mean over days,area: areacella,longitude latitude time,real,,,,,
hus50m,mon,1,Specific Humidity at 50m,specific_humidity,TIER1,requested for urban modeling,area: time: mean,area: areacella,longitude latitude time height50m,real,,,,,
ta200,6hr,K,Air Temperature,air_temperature,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p200,real,,,,,
zmla,1hr,m,Height of Boundary Layer,atmosphere_boundary_layer_thickness,TIER1,,area: mean time: point,area: areacella,longitude latitude time1,real,,,,,
li,1hr,K,Lifted Index,temperature_difference_between_ambient_air_and_air_lifted_adiabatically_from_the_surface,TIER2,,area: mean time: point,area: areacella,longitude latitude time1,real,,,,,
ua50,mon,m s-1,Eastward Wind,eastward_wind,TIER2,,area: time: mean,area: areacella,longitude latitude time p50,real,,,,,
zg200,6hr,m,Geopotential Height,geopotential_height,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p200,real,,,,,
hus925,mon,1,Specific Humidity,specific_humidity,TIER1,,area: time: mean,area: areacella,longitude latitude time p925,real,,,,,
rlus,1hr,W m-2,Surface Upwelling Longwave Radiation,surface_upwelling_longwave_flux_in_air,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
mrfso,day,kg m-2,Soil Frozen Water Content,soil_frozen_water_content,TIER1,"The mass of frozen water per unit area summed over all soil layers. Reported as missing for grid cells with no land.",area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
va150m,day,m s-1,Northward Wind at 150m,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time height150m,real,,,,,
va50m,mon,m s-1,Northward Wind at 50m,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time height50m,real,,,,,
ua250,day,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p250,real,,,,,
va10,mon,m s-1,Northward Wind,northward_wind,TIER2,,area: time: mean,area: areacella,longitude latitude time p10,real,,,,,
snc,mon,%,Snow Area Percentage,surface_snow_area_fraction,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
va100,mon,m s-1,Northward Wind,northward_wind,TIER2,,area: time: mean,area: areacella,longitude latitude time p100,real,,,,,
sund,day,s,Daily Duration of Sunshine,duration_of_sunshine,TIER1,"The WMO definition of sunshine is that the surface incident radiative flux from the solar beam (i.e. excluding diffuse skylight) exceeds 120 W m-2. ""Duration"" is the length of time for which a condition holds.",time: sum,area: areacella,longitude latitude time,real,,,,,
rluscs,mon,W m-2,Surface Upwelling Clear-Sky Longwave Radiation,surface_upwelling_longwave_flux_in_air_assuming_clear_sky,TIER2,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
hus750,day,1,Specific Humidity,specific_humidity,TIER2,requested by CORDEX-Africa,area: time: mean,area: areacella,longitude latitude time p750,real,,,,,
zg50,6hr,m,Geopotential Height,geopotential_height,TIER2,,area: mean time: point,area: areacella,longitude latitude time1 p50,real,,,,,
va500,6hr,m s-1,Northward Wind,northward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p500,real,,,,,
wa500,mon,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,area: time: mean,area: areacella,longitude latitude time p500,real,,,,,
prc,day,kg m-2 s-1,Convective Precipitation,convective_precipitation_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
zg1000,day,m,Geopotential Height,geopotential_height,TIER1,,area: time: mean,area: areacella,longitude latitude time p1000,real,,,,,
hus20,mon,1,Specific Humidity,specific_humidity,TIER2,,area: time: mean,area: areacella,longitude latitude time p20,real,,,,,
snw,6hr,kg m-2,Surface Snow Amount,surface_snow_amount,TIER1,,area: mean where land time: point,area: areacella,longitude latitude time1,real,,,,,
tasmin,mon,K,Daily Minimum Near-Surface Air Temperature,air_temperature,CORE,minimum from all integrated time steps per day,area: mean time: minimum within days time: mean over days,area: areacella,longitude latitude time height2m,real,,,,,
hus200,6hr,1,Specific Humidity,specific_humidity,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p200,real,,,,,
hus150,6hr,1,Specific Humidity,specific_humidity,TIER2,,area: mean time: point,area: areacella,longitude latitude time1 p150,real,,,,,
zg300,day,m,Geopotential Height,geopotential_height,TIER1,,area: time: mean,area: areacella,longitude latitude time p300,real,,,,,
rlut,1hr,W m-2,TOA Outgoing Longwave Radiation,toa_outgoing_longwave_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
ua750,day,m s-1,Eastward Wind,eastward_wind,TIER2,requested by CORDEX-Africa,area: time: mean,area: areacella,longitude latitude time p750,real,,,,,
rldscs,mon,W m-2,Surface Downwelling Clear-Sky Longwave Radiation,surface_downwelling_longwave_flux_in_air_assuming_clear_sky,TIER2,,area: time: mean,area: areacella,longitude latitude time,real,down,,,,
ua50m,mon,m s-1,Eastward Wind at 50m,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time height50m,real,,,,,
hus100,mon,1,Specific Humidity,specific_humidity,TIER2,,area: time: mean,area: areacella,longitude latitude time p100,real,,,,,
ua1000,day,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p1000,real,,,,,
ta200,mon,K,Air Temperature,air_temperature,TIER1,,area: time: mean,area: areacella,longitude latitude time p200,real,,,,,
ua600,mon,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p600,real,,,,,
zg400,mon,m,Geopotential Height,geopotential_height,TIER1,,area: time: mean,area: areacella,longitude latitude time p400,real,,,,,
ta500,6hr,K,Air Temperature,air_temperature,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p500,real,,,,,
psl,day,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
tauv,day,Pa,Surface Downward Northward Wind Stress,surface_downward_northward_stress,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
wa100,mon,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,area: time: mean,area: areacella,longitude latitude time p100,real,,,,,
ua100m,day,m s-1,Eastward Wind at 100m,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time height100m,real,,,,,
va150,day,m s-1,Northward Wind,northward_wind,TIER2,,area: time: mean,area: areacella,longitude latitude time p150,real,,,,,
tauv,mon,Pa,Surface Downward Northward Wind Stress,surface_downward_northward_stress,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
li,day,K,Lifted Index,temperature_difference_between_ambient_air_and_air_lifted_adiabatically_from_the_surface,TIER2,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
ua250m,1hr,m s-1,Eastward Wind at 250m,eastward_wind,TIER2,,area: mean time: point,area: areacella,longitude latitude time1 height250m,real,,,,,
ta50m,mon,K,Air Temperature at 50m,air_temperature,TIER1,requested for urban modeling,area: time: mean,area: areacella,longitude latitude time height50m,real,,,,,
hus70,6hr,1,Specific Humidity,specific_humidity,TIER2,,area: mean time: point,area: areacella,longitude latitude time1 p70,real,,,,,
ta750,6hr,K,Air Temperature,air_temperature,TIER2,requested by CORDEX-Africa,area: mean time: point,area: areacella,longitude latitude time1 p750,real,,,,,
hus20,day,1,Specific Humidity,specific_humidity,TIER2,,area: time: mean,area: areacella,longitude latitude time p20,real,,,,,
mrfsos,day,kg m-2,Frozen Water Content in Upper Portion of Soil Column,frozen_water_content_of_soil_layer,TIER1,The mass of frosen water  in the upper 10cm of the soil layer. Reported as missing for grid cells with no land. (not in CMIP),area: time: mean,area: areacella,longitude latitude time,real,,,,,
ua400,mon,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p400,real,,,,,
zg400,6hr,m,Geopotential Height,geopotential_height,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p400,real,,,,,
mrfso,mon,kg m-2,Soil Frozen Water Content,soil_frozen_water_content,TIER1,"The mass of frozen water per unit area, summed over all soil layers. Reported as missing for grid cells with no land.",area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
va200m,1hr,m s-1,Northward Wind at 200m,northward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 height200m,real,,,,,
wa70,day,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,area: time: mean,area: areacella,longitude latitude time p70,real,,,,,
cape,1hr,J kg-1,Convective Available Potential Energy,atmosphere_convective_available_potential_energy_wrt_surface,TIER2,,area: mean time: point,area: areacella,longitude latitude time1,real,,,,,
ta200,day,K,Air Temperature,air_temperature,TIER1,,area: time: mean,area: areacella,longitude latitude time p200,real,,,,,
wa925,mon,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,area: time: mean,area: areacella,longitude latitude time p925,real,,,,,
hus700,mon,1,Specific Humidity,specific_humidity,TIER1,,area: time: mean,area: areacella,longitude latitude time p700,real,,,,,
hus1000,day,1,Specific Humidity,specific_humidity,TIER1,,area: time: mean,area: areacella,longitude latitude time p1000,real,,,,,
hus70,day,1,Specific Humidity,specific_humidity,TIER2,,area: time: mean,area: areacella,longitude latitude time p70,real,,,,,
va600,day,m s-1,Northward Wind,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p600,real,,,,,
hus400,day,1,Specific Humidity,specific_humidity,TIER1,,area: time: mean,area: areacella,longitude latitude time p400,real,,,,,
zg250,mon,m,Geopotential Height,geopotential_height,TIER1,,area: time: mean,area: areacella,longitude latitude time p250,real,,,,,
wa400,6hr,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p400,real,,,,,
prsn,mon,kg m-2 s-1,Snowfall Flux,snowfall_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
ta100,6hr,K,Air Temperature,air_temperature,TIER2,,area: mean time: point,area: areacella,longitude latitude time1 p100,real,,,,,
va250,mon,m s-1,Northward Wind,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p250,real,,,,,
hfso,mon,W m-2,Surface Downeard Ground Heat Flux,surface_downward_ground_heat_flux,TIER2,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
va400,day,m s-1,Northward Wind,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p400,real,,,,,
wa700,6hr,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p700,real,,,,,
va850,mon,m s-1,Northward Wind,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p850,real,,,,,
ta50m,1hr,K,Air Temperature at 50m,air_temperature,TIER1,requested for urban modeling,area: mean time: point,area: areacella,longitude latitude time1 height50m,real,,,,,
wa700,day,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,area: time: mean,area: areacella,longitude latitude time p700,real,,,,,
